ticker,company,sector,sub_industry,cik,legal_name,gics_sector,gics_sub_industry,hq_state,shares_outstanding
SRE,Sempra,Utilities,Multi-Utilities,0001032208,Sempra,Utilities,Multi-Utilities,California,652731668.0
STE,Steris,Health Care,Health Care Equipment,0001757898,Steris,Health Care,Health Care Equipment,Ireland,97800000.0
STLD,Steel Dynamics,Materials,Steel,0001022671,Steel Dynamics,Materials,Steel,Indiana,144940102.0
STT,State Street Corporation,Financials,Asset Management & Custody Banks,0000093751,State Street Corporation,Financials,Asset Management & Custody Banks,Massachusetts,279077907.0
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",0001137789,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",Ireland,212668547.0
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,0000016918,Constellation Brands,Consumer Staples,Distillers & Vintners,New York,
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,0002005951,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,Ireland,522310486.0
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,0000093556,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,Connecticut,155036411.0
SWKS,Skyworks Solutions,Information Technology,Semiconductors,0000004127,Skyworks Solutions,Information Technology,Semiconductors,California,148700000.0
SYF,Synchrony Financial,Financials,Consumer Finance,0001601712,Synchrony Financial,Financials,Consumer Finance,Connecticut,347000000.0
SYK,Stryker Corporation,Health Care,Health Care Equipment,0000310764,Stryker Corporation,Health Care,Health Care Equipment,Michigan,386500000.0
SYY,Sysco,Consumer Staples,Food Distributors,0000096021,Sysco,Consumer Staples,Food Distributors,Texas,489825648.0
T,AT&T,Communication Services,Integrated Telecommunication Services,0000732717,AT&T,Communication Services,Integrated Telecommunication Services,Texas,7179000000.0
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,0000024545,Molson Coors Beverage Company,Consumer Staples,Brewers,Illinois,199100000.0
TDG,TransDigm Group,Industrials,Aerospace & Defense,0001260221,TransDigm Group,Industrials,Aerospace & Defense,Ohio,58200000.0
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,0001094285,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,California,46185578.0
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,0000842023,Bio-Techne,Health Care,Life Sciences Tools & Services,Minnesota,154972196.0
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,0001385157,TE Connectivity,Information Technology,Electronic Manufacturing Services,Ireland,299000000.0
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,0000097210,Teradyne,Information Technology,Semiconductor Materials & Equipment,Massachusetts,156088000.0
TFC,Truist Financial,Financials,Diversified Banks,0000092230,Truist Financial,Financials,Diversified Banks,North Carolina,1262470000.0
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,0000027419,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,Minnesota,452840187.0
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,0000109198,TJX Companies,Consumer Discretionary,Apparel Retail,Massachusetts,1107087991.0
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,0001973266,TKO Group Holdings,Communication Services,Movies & Entertainment,New York,194011072.0
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,0000097745,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,Massachusetts,378000000.0
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,0001283699,T-Mobile US,Communication Services,Wireless Telecommunication Services,Washington,1106930661.0
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,0001811074,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,Texas,68938230.0
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",0001116132,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",New York,208100000.0
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,0001389170,Targa Resources,Energy,Oil & Gas Storage & Transportation,Texas,214662156.0
TRMB,Trimble Inc.,Information Technology,Application Software,0000864749,Trimble Inc.,Information Technology,Application Software,Colorado,236000000.0
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,0001113169,T. Rowe Price,Financials,Asset Management & Custody Banks,Maryland,218565000.0
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,0000086312,Travelers Companies (The),Financials,Property & Casualty Insurance,New York,217500000.0
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,0000916365,Tractor Supply,Consumer Discretionary,Other Specialty Retail,Tennessee,527017000.0
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,0001318605,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,Texas,3751000000.0
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,0000100493,Tyson Foods,Consumer Staples,Packaged Foods & Meats,Arkansas,357000000.0
TT,Trane Technologies,Industrials,Building Products,0001466258,Trane Technologies,Industrials,Building Products,Ireland,224900000.0
TTD,Trade Desk (The),Communication Services,Advertising,0001671933,Trade Desk (The),Communication Services,Advertising,California,493551000.0
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,0000946581,Take-Two Interactive,Communication Services,Interactive Home Entertainment,New York,185400000.0
TXN,Texas Instruments,Information Technology,Semiconductors,0000097476,Texas Instruments,Information Technology,Semiconductors,Texas,913000000.0
TXT,Textron,Industrials,Aerospace & Defense,0000217346,Textron,Industrials,Aerospace & Defense,Rhode Island,174310000.0
TYL,Tyler Technologies,Information Technology,Application Software,0000860731,Tyler Technologies,Information Technology,Application Software,Texas,43812000.0
UAL,United Airlines Holdings,Industrials,Passenger Airlines,0000100517,United Airlines Holdings,Industrials,Passenger Airlines,Illinois,323470682.0
UBER,Uber,Industrials,Passenger Ground Transportation,0001543151,Uber,Industrials,Passenger Ground Transportation,California,2067905000.0
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,0000074208,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,Colorado,328273044.0
UHS,Universal Health Services,Health Care,Health Care Facilities,0000352915,Universal Health Services,Health Care,Health Care Facilities,Pennsylvania,64462000.0
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,0001403568,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,Illinois,44166000.0
UNH,UnitedHealth Group,Health Care,Managed Health Care,0000731766,UnitedHealth Group,Health Care,Managed Health Care,Minnesota,906000000.0
UNP,Union Pacific Corporation,Industrials,Rail Transportation,0000100885,Union Pacific Corporation,Industrials,Rail Transportation,Nebraska,593245884.0
UPS,United Parcel Service,Industrials,Air Freight & Logistics,0001090727,United Parcel Service,Industrials,Air Freight & Logistics,Georgia,850000000.0
URI,United Rentals,Industrials,Trading Companies & Distributors,0001067701,United Rentals,Industrials,Trading Companies & Distributors,Connecticut,63095970.0
USB,U.S. Bancorp,Financials,Diversified Banks,0000036104,U.S. Bancorp,Financials,Diversified Banks,Minnesota,1600000000.0
V,Visa Inc.,Financials,Transaction & Payment Processing Services,0001403161,Visa Inc.,Financials,Transaction & Payment Processing Services,California,
VEEV,Veeva Systems,Health Care,Health Care Technology,0001393052,Veeva Systems,Health Care,Health Care Technology,California,163778271.0
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,0001705696,Vici Properties,Real Estate,Hotel & Resort REITs,New York,1068811371.0
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,0001035002,Valero Energy,Energy,Oil & Gas Refining & Marketing,Texas,309000000.0
VLTO,Veralto,Industrials,Environmental & Facilities Services,0001967680,Veralto,Industrials,Environmental & Facilities Services,Massachusetts,248400000.0
VMC,Vulcan Materials Company,Materials,Construction Materials,0001396009,Vulcan Materials Company,Materials,Construction Materials,Alabama,130600000.0
VMRK,Vivmark Residential,Real Estate,Multi-Family Residential REITs,0000906107,Vivmark Residential,Real Estate,Multi-Family Residential REITs,Illinois,377806173.0
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,0001442145,Verisk Analytics,Industrials,Research & Consulting Services,New Jersey,138397709.0
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,0001014473,Verisign,Information Technology,Internet Services & Infrastructure,Virginia,91900000.0
VRT,Vertiv,Industrials,Electrical Components & Equipment,0001674101,Vertiv,Industrials,Electrical Components & Equipment,Ohio,382553680.0
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,0000875320,Vertex Pharmaceuticals,Health Care,Biotechnology,Massachusetts,253991224.0
VST,Vistra Corp.,Utilities,Electric Utilities,0001692819,Vistra Corp.,Utilities,Electric Utilities,Texas,338059635.0
VTR,Ventas,Real Estate,Health Care REITs,0000740260,Ventas,Real Estate,Health Care REITs,Illinois,462615000.0
VTRS,Viatris,Health Care,Pharmaceuticals,0001792044,Viatris,Health Care,Pharmaceuticals,Pennsylvania,
VZ,Verizon,Communication Services,Integrated Telecommunication Services,0000732712,Verizon,Communication Services,Integrated Telecommunication Services,New York,4231000000.0
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,0000943452,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,Pennsylvania,170600000.0
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,0001000697,Waters Corporation,Health Care,Life Sciences Tools & Services,Massachusetts,59549000.0
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,0001437107,Warner Bros. Discovery,Communication Services,Broadcasting,New York,2480000000.0
WDAY,"Workday, Inc.",Information Technology,Application Software,0001327811,"Workday, Inc.",Information Technology,Application Software,California,268117000.0
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",0000106040,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",California,347000000.0
WEC,WEC Energy Group,Utilities,Electric Utilities,0000783325,WEC Energy Group,Utilities,Electric Utilities,Wisconsin,325461519.0
WELL,Welltower,Real Estate,Health Care REITs,0000766704,Welltower,Real Estate,Health Care REITs,Ohio,696507255.0
WFC,Wells Fargo,Financials,Diversified Banks,0000072971,Wells Fargo,Financials,Diversified Banks,California,3092600000.0
WM,Waste Management,Industrials,Environmental & Facilities Services,0000823768,Waste Management,Industrials,Environmental & Facilities Services,Texas,402900000.0
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,0000107263,Williams Companies,Energy,Oil & Gas Storage & Transportation,Oklahoma,1225000000.0
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,0000104169,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,Arkansas,8022000000.0
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,0000011544,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,Connecticut,377155799.0
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,0000719955,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,California,118770000.0
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,0000105770,West Pharmaceutical Services,Health Care,Health Care Supplies,Pennsylvania,72000000.0
WTW,Willis Towers Watson,Financials,Insurance Brokers,0001140536,Willis Towers Watson,Financials,Insurance Brokers,United Kingdom,99000000.0
WY,Weyerhaeuser,Real Estate,Timber REITs,0000106535,Weyerhaeuser,Real Estate,Timber REITs,Washington,720531000.0
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,0001174922,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,Nevada,103989787.0
XEL,Xcel Energy,Utilities,Multi-Utilities,0000072903,Xcel Energy,Utilities,Multi-Utilities,Minnesota,623600715.0
XOM,ExxonMobil,Energy,Integrated Oil & Gas,0002115436,ExxonMobil,Energy,Integrated Oil & Gas,Texas,4179000000.0
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,0001524472,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,New York,243584000.0
XYZ,"Block, Inc.",Financials,Transaction & Payment Processing Services,0001512673,"Block, Inc.",Financials,Transaction & Payment Processing Services,none,622838000.0
YUM,Yum! Brands,Consumer Discretionary,Restaurants,0001041061,Yum! Brands,Consumer Discretionary,Restaurants,Kentucky,281000000.0
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,0001136869,Zimmer Biomet,Health Care,Health Care Equipment,Indiana,198700000.0
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,0000877212,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,Illinois,51212395.0
ZTS,Zoetis,Health Care,Pharmaceuticals,0001555280,Zoetis,Health Care,Pharmaceuticals,New Jersey,424927535.0
